"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40703","Тест кейс оформления заказа самоката","tests","Mon Mar 10 14:17:11 MSK 2025","passed","Mon Mar 10 14:17:52 MSK 2025","TestOrder","test_make_an_order","",""
"","20410","Тест кейс открытие текста при клике на пятый вопрос","tests","Mon Mar 10 14:19:54 MSK 2025","passed","Mon Mar 10 14:20:15 MSK 2025","TestQuestion","test_question_on_base_page","",""
"","18287","Тест кейс открытие текста при клике на седьмой вопрос","tests","Mon Mar 10 14:20:42 MSK 2025","passed","Mon Mar 10 14:21:00 MSK 2025","TestQuestion","test_question_on_base_page","",""
"","9102","Тест кейс открытие текста при клике на восьмой вопрос","tests","Mon Mar 10 14:21:02 MSK 2025","passed","Mon Mar 10 14:21:11 MSK 2025","TestQuestion","test_question_on_base_page","",""
"","28145","Тест кейс открытие текста при клике на второй вопрос","tests","Mon Mar 10 14:18:39 MSK 2025","passed","Mon Mar 10 14:19:07 MSK 2025","TestQuestion","test_question_on_base_page","",""
"","22736","Тест кейс открытие текста при клике на шестой вопрос","tests","Mon Mar 10 14:20:17 MSK 2025","passed","Mon Mar 10 14:20:40 MSK 2025","TestQuestion","test_question_on_base_page","",""
"","16645","Тест кейс открытие текста при клике на четвертый вопрос","tests","Mon Mar 10 14:19:36 MSK 2025","passed","Mon Mar 10 14:19:52 MSK 2025","TestQuestion","test_question_on_base_page","",""
"","20764","Тест кейс оформления заказа самоката","tests","Mon Mar 10 14:17:54 MSK 2025","passed","Mon Mar 10 14:18:15 MSK 2025","TestOrder","test_make_an_order","",""
"","24734","Тест кейс открытие текста при клике на третий вопрос","tests","Mon Mar 10 14:19:09 MSK 2025","passed","Mon Mar 10 14:19:34 MSK 2025","TestQuestion","test_question_on_base_page","",""
"","20497","Тест кейс открытие текста при клике на первый вопрос","tests","Mon Mar 10 14:18:17 MSK 2025","passed","Mon Mar 10 14:18:37 MSK 2025","TestQuestion","test_question_on_base_page","",""
